"pitcher","game_year","n_pitches","tunnel_quality_arsenal","tunnel_quartile","tunnel_bucket","avg_xRV","avg_actual_rv","tunneling_plus","percentile"
683175,2025,1131,0.571791913610998,"Q4 (Best)","50-60%",-0.0158584817217009,-0.0236419098143236,109.2,97.1
687166,2025,81,0.557430244972534,"Q3","40-50%",-0.0158031470469992,-0.0194444444444444,109.2,97.1
596112,2023,2268,0.549461104249244,"Q2","40-50%",-0.0157427141377565,-0.0257433862433862,109.1,97
605280,2024,3243,0.532531573963256,"Q1 (Worst)","30-40%",-0.0157296442722848,-0.0124292321924144,109.1,97
650911,2025,8682,0.556490555144912,"Q3","40-50%",-0.0157263210569531,-0.0192346233586731,109.1,97
676617,2025,2271,0.583754447179692,"Q4 (Best)","50-60%",-0.0157192711710845,-0.0224848084544254,109.1,97
554431,2025,381,0.585890424501704,"Q4 (Best)","60-70%",-0.0156376996891359,0.010244094488189,109,96.8
605447,2023,2736,0.582990570671403,"Q4 (Best)","50-60%",-0.015702547449205,-0.0187905701754386,109,96.8
663855,2023,3249,0.556188342184899,"Q3","40-50%",-0.0156617066639132,-0.0105078485687904,109,96.8
664854,2024,2793,0.548893513109337,"Q2","40-50%",-0.0156812758941474,-0.0280075187969925,109,96.8
676879,2025,3099,0.545519959685153,"Q2","40-50%",-0.0156599397039401,-0.0155527589545015,109,96.8
668933,2025,3114,0.561480551512567,"Q3","40-50%",-0.015605720754287,-0.0112890173410405,108.9,96.7
642585,2025,1872,0.54978325578323,"Q2","40-50%",-0.0154893421540225,-0.0186939102564103,108.8,96.7
543037,2023,9834,0.56865685311616,"Q4 (Best)","50-60%",-0.0154614815809298,-0.0192879804758999,108.7,96.6
641941,2023,3180,0.574906358915079,"Q4 (Best)","50-60%",-0.0154783090863569,-0.0236547169811321,108.7,96.6
608371,2025,798,0.540495272721785,"Q1 (Worst)","30-40%",-0.0153679321465187,0.00516541353383459,108.6,96.5
656546,2023,2607,0.56915355287941,"Q4 (Best)","50-60%",-0.0153319328256145,-0.0238895281933257,108.6,96.5
663893,2025,3720,0.563989381258685,"Q3","50-60%",-0.0153969832791224,-0.0132370967741935,108.6,96.5
650556,2024,3870,0.570039779914476,"Q4 (Best)","50-60%",-0.0152892862052323,-0.0155038759689922,108.5,96.1
656546,2024,2970,0.558848948116976,"Q3","40-50%",-0.0152609673222498,-0.0174333333333333,108.5,96.1
657044,2024,2931,0.589004524457792,"Q4 (Best)","60-70%",-0.0152740918515794,-0.0158986693961105,108.5,96.1
664849,2025,459,0.547836020429169,"Q2","40-50%",-0.0152800910661004,-0.0118039215686274,108.5,96.1
666208,2024,90,0.556449018605499,"Q3","40-50%",-0.0152814311208203,-0.0305333333333333,108.5,96.1
672391,2024,1098,0.568014408263045,"Q3","50-60%",-0.0153066940126481,-0.0132267759562842,108.5,96.1
681870,2024,594,0.553852716701382,"Q2","40-50%",-0.0153144221526372,-0.0293686868686869,108.5,96.1
690925,2024,153,0.557093286268053,"Q3","40-50%",-0.015267470315973,-0.0053921568627451,108.5,96.1
