#,Name,MLBAMID,Team,STD_POS,Last,First,Lastv2,Firstv2
225,Sean Manaea,640455,NYM,SP,Manaea,Sean,Manaea,Sean
226,Luis Severino,622663,ATH,SP,Severino,Luis,Severino,Luis
229,Ryne Stanek,592773,NYM,RP,Stanek,Ryne,Stanek,Ryne
231,Carlos Rodon,607074,NYY,SP,Rodon,Carlos,Rodón,Carlos
232,Aaron Nola,605400,PHI,SP,Nola,Aaron,Nola,Aaron
236,Reynaldo Lopez,625643,ATL,SP,Lopez,Reynaldo,López,Reynaldo
243,Austin Gomber,596295,CHC,RP,Gomber,Austin,Gomber,Austin
244,Brock Stewart,592779,LAD,RP,Stewart,Brock,Stewart,Brock
246,Luke Weaver,596133,NYY,RP,Weaver,Luke,Weaver,Luke
249,Sean Newcomb,656794,ATH,RP,Newcomb,Sean,Newcomb,Sean
250,Grant Holmes,656550,ATL,SP,Holmes,Grant,Holmes,Grant
251,Trevor Williams,592866,WSH,SP,Williams,Trevor,Williams,Trevor
252,Tyler Beede,595881,MIN,RP,Beede,Tyler,Beede,Tyler
254,Raisel Iglesias,628452,ATL,RP,Iglesias,Raisel,Iglesias,Raisel
258,Jeff Hoffman,656546,TOR,RP,Hoffman,Jeff,Hoffman,Jeff
262,Carson Fulmer,608334,LAA,RP,Fulmer,Carson,Fulmer,Carson
264,Kenta Maeda,628317,NYY,RP,Maeda,Kenta,Maeda,Kenta
266,Chris Martin,455119,TEX,RP,Martin,Chris,Martin,Chris
267,Wilking Rodriguez,516853,NYY,RP,Rodriguez,Wilking,Rodríguez,Wilking
268,Fernando Cruz,518585,NYY,RP,Cruz,Fernando,Cruz,Fernando
269,Merrill Kelly,518876,TEX,SP,Kelly,Merrill,Kelly,Merrill
270,Albert Suarez,544150,BAL,RP,Suarez,Albert,Suárez,Albert
271,Michael Kelly,547184,ATH,RP,Kelly,Michael,Kelly,Michael
272,Brooks Raley,548384,NYM,RP,Raley,Brooks,Raley,Brooks
273,David Buchanan,571527,TEX,RP,Buchanan,David,Buchanan,David
274,Miles Mikolas,571945,STL,SP,Mikolas,Miles,Mikolas,Miles
275,Hoby Milner,571948,TEX,RP,Milner,Hoby,Milner,Hoby
277,Burch Smith,572143,PIT,RP,Smith,Burch,Smith,Burch
278,Brian Moran,572383,ATL,RP,Moran,Brian,Moran,Brian
279,Caleb Thielbar,573204,CHC,RP,Thielbar,Caleb,Thielbar,Caleb
281,Yusei Kikuchi,579328,LAA,SP,Kikuchi,Yusei,Kikuchi,Yusei
282,Jason Adam,592094,SD,RP,Adam,Jason,Adam,Jason
283,Cam Booser,592155,CHW,RP,Booser,Cam,Booser,Cam
284,Dylan Covey,592229,ATL,RP,Covey,Dylan,Covey,Dylan
286,Zack Weiss,592848,STL,RP,Weiss,Zack,Weiss,Zack
287,Ben Lively,594902,CLE,SP,Lively,Ben,Lively,Ben
288,John Curtiss,595928,ARI,RP,Curtiss,John,Curtiss,John
289,Jakob Junis,596001,CLE,RP,Junis,Jakob,Junis,Jakob
292,Thyago Vieira,600986,ARI,RP,Vieira,Thyago,Vieira,Thyago
293,Nick Pivetta,601713,SD,SP,Pivetta,Nick,Pivetta,Nick
296,Justin Anderson,605121,CHW,RP,Anderson,Justin,Anderson,Justin
297,Scott Barlow,605130,CIN,RP,Barlow,Scott,Barlow,Scott
298,John Brebbia,605154,BOS,RP,Brebbia,John,Brebbia,John
299,Colten Brewer,605155,NYY,RP,Brewer,Colten,Brewer,Colten
301,Clay Holmes,605280,NYM,SP,Holmes,Clay,Holmes,Clay
305,Yacksel Rios,605441,NYM,RP,Rios,Yacksel,Ríos,Yacksel
306,Jordan Romano,605447,PHI,RP,Romano,Jordan,Romano,Jordan
307,Jeffrey Springs,605488,ATH,SP,Springs,Jeffrey,Springs,Jeffrey
308,Zach Thompson,605507,ATL,RP,Thompson,Zach,Thompson,Zach
309,Spencer Turnbull,605513,KC,SP,Turnbull,Spencer,Turnbull,Spencer
310,Brandon Woodruff,605540,MIL,SP,Woodruff,Brandon,Woodruff,Brandon
312,Giovanny Gallegos,606149,LAD,RP,Gallegos,Giovanny,Gallegos,Giovanny
313,Yefry Ramirez,606162,LAD,RP,Ramirez,Yefry,Ramírez,Yefry
314,Joel Payamps,606303,ATL,RP,Payamps,Joel,Payamps,Joel
316,Kyle Hart,606996,SD,SP,Hart,Kyle,Hart,Kyle
317,Erick Fedde,607200,MIL,SP,Fedde,Erick,Fedde,Erick
318,Joey Krehbiel,607216,KC,RP,Krehbiel,Joey,Krehbiel,Joey
320,Anthony Banda,607455,LAD,RP,Banda,Anthony,Banda,Anthony
321,Aaron Bummer,607481,ATL,RP,Bummer,Aaron,Bummer,Aaron
322,Kyle Freeland,607536,COL,SP,Freeland,Kyle,Freeland,Kyle
323,John Means,607644,CLE,SP,Means,John,Means,John
324,Andrew Vasquez,607755,LAA,RP,Vasquez,Andrew,Vasquez,Andrew
325,Max Fried,608331,NYY,SP,Fried,Max,Fried,Max
327,Tomoyuki Sugano,608372,BAL,SP,Sugano,Tomoyuki,Sugano,Tomoyuki
328,Dietrich Enns,608650,BAL,RP,Enns,Dietrich,Enns,Dietrich
333,Cal Quantrill,615698,TEX,SP,Quantrill,Cal,Quantrill,Cal
336,Jose Castillo,620454,BAL,RP,Castillo,Jose,Castillo,José
339,Jose Cuas,621016,ATL,RP,Cuas,Jose,Cuas,Jose
341,Steven Wilson,621051,CHW,RP,Wilson,Steven,Wilson,Steven
342,Tyler Ferguson,621053,ATH,RP,Ferguson,Tyler,Ferguson,Tyler
343,Justin Garza,621057,NYM,RP,Garza,Justin,Garza,Justin
344,Jacob Waguespack,621097,PHI,RP,Waguespack,Jacob,Waguespack,Jacob
345,Walker Buehler,621111,PHI,SP,Buehler,Walker,Buehler,Walker
346,Ryan Burr,621114,TOR,RP,Burr,Ryan,Burr,Ryan
347,Jose Alvarado,621237,PHI,RP,Alvarado,Jose,Alvarado,José
348,A.J. Minter,621345,NYM,RP,Minter,A.J.,Minter,A.J.
349,Colin Poche,621363,NYM,RP,Poche,Colin,Poche,Colin
350,Ryan Borucki,621366,TOR,RP,Borucki,Ryan,Borucki,Ryan
351,Tanner Banks,621383,PHI,RP,Banks,Tanner,Banks,Tanner
352,Brady Feigl,621399,MIN,RP,Feigl,Brady,Feigl,Brady
358,Alex Young,622065,CIN,RP,Young,Alex,Young,Alex
359,Yency Almonte,622075,CHC,RP,Almonte,Yency,Almonte,Yency
360,Tejay Antone,622088,CIN,RP,Antone,Tejay,Antone,Tejay
361,Drew Smith,622098,NYM,RP,Smith,Drew,Smith,Drew
362,Josh Sborz,622250,TEX,RP,Sborz,Josh,Sborz,Josh
363,Josh Staumont,622251,CIN,RP,Staumont,Josh,Staumont,Josh
364,Dillon Tate,622253,TOR,RP,Tate,Dillon,Tate,Dillon
365,Patrick Weigel,622256,WSH,RP,Weigel,Patrick,Weigel,Patrick
367,Seranthony Dominguez,622554,TOR,RP,Dominguez,Seranthony,Domínguez,Seranthony
369,Miguel Diaz,622766,SF,RP,Diaz,Miguel,Díaz,Miguel
370,Jesus Tinoco,622786,MIA,RP,Tinoco,Jesus,Tinoco,Jesus
372,Huascar Brazoban,623211,NYM,RP,Brazoban,Huascar,Brazobán,Huascar
373,Thomas Pannone,623381,MIL,RP,Pannone,Thomas,Pannone,Thomas
374,Nick Anderson,623433,SEA,RP,Anderson,Nick,Anderson,Nick
375,Justin Topa,623437,MIN,RP,Topa,Justin,Topa,Justin
376,Evan Phillips,623465,LAD,RP,Phillips,Evan,Phillips,Evan
377,Jimmy Herget,623474,COL,RP,Herget,Jimmy,Herget,Jimmy
381,Ranger Suarez,624133,PHI,SP,Suarez,Ranger,Suárez,Ranger
388,Victor Gonzalez,624647,LAA,RP,Gonzalez,Victor,González,Victor
392,Wil Crowe,640444,PHI,RP,Crowe,Wil,Crowe,Wil
393,Kyle Finnegan,640448,DET,RP,Finnegan,Kyle,Finnegan,Kyle
394,Hunter Harvey,640451,KC,RP,Harvey,Hunter,Harvey,Hunter
395,Matt Krook,640454,CLE,RP,Krook,Matt,Krook,Matt
398,A.J. Puk,640462,ARI,RP,Puk,A.J.,Puk,A.J.
399,Adbert Alzolay,640470,NYM,RP,Alzolay,Adbert,Alzolay,Adbert
402,Pablo Lopez,641154,MIN,SP,Lopez,Pablo,López,Pablo
403,Tyler Alexander,641302,CHW,SP,Alexander,Tyler,Alexander,Tyler
404,Shaun Anderson,641312,LAA,RP,Anderson,Shaun,Anderson,Shaun
405,Bryan Baker,641329,TB,RP,Baker,Bryan,Baker,Bryan
407,Phil Bickford,641360,PHI,RP,Bickford,Phil,Bickford,Phil
408,Ben Bowden,641386,ATH,RP,Bowden,Ben,Bowden,Ben
409,Connor Brogdon,641401,LAA,RP,Brogdon,Connor,Brogdon,Connor
410,Alan Busenitz,641427,CIN,RP,Busenitz,Alan,Busenitz,Alan
411,Nestor Cortes,641482,SD,SP,Cortes,Nestor,Cortes,Nestor
414,Bernardo Flores Jr.,641576,CHW,RP,Flores Jr.,Bernardo,Flores Jr.,Bernardo
415,Matt Foster,641582,ARI,RP,Foster,Matt,Foster,Matt
417,J.P. France,641585,HOU,RP,France,J.P.,France,J.P.
419,Ian Hamilton,641656,NYY,RP,Hamilton,Ian,Hamilton,Ian
420,Thomas Hatch,641672,MIN,RP,Hatch,Thomas,Hatch,Thomas
421,Dakota Hudson,641712,LAA,RP,Hudson,Dakota,Hudson,Dakota
422,Rob Kaminsky,641739,STL,RP,Kaminsky,Rob,Kaminsky,Rob
423,Brad Keller,641745,CHC,RP,Keller,Brad,Keller,Brad
424,Tyler Kinley,641755,ATL,RP,Kinley,Tyler,Kinley,Tyler
425,Eric Lauer,641778,TOR,SP,Lauer,Eric,Lauer,Eric
427,Zack Littell,641793,CIN,SP,Littell,Zack,Littell,Zack
429,Tyler Mahle,641816,TEX,SP,Mahle,Tyler,Mahle,Tyler
430,Tim Mayza,641835,PHI,RP,Mayza,Tim,Mayza,Tim
431,Patrick Murphy,641907,TEX,RP,Murphy,Patrick,Murphy,Patrick
432,Bailey Ober,641927,MIN,SP,Ober,Bailey,Ober,Bailey
434,Emilio Pagan,641941,CIN,RP,Pagan,Emilio,Pagán,Emilio
436,Daniel Robert,642016,PHI,RP,Robert,Daniel,Robert,Daniel
438,Tayler Saucedo,642048,SEA,RP,Saucedo,Tayler,Saucedo,Tayler
439,Gabe Speier,642100,SEA,RP,Speier,Gabe,Speier,Gabe
440,Cole Sulser,642121,TB,RP,Sulser,Cole,Sulser,Cole
442,Lou Trivino,642152,PHI,RP,Trivino,Lou,Trivino,Lou
445,Devin Williams,642207,NYY,RP,Williams,Devin,Williams,Devin
447,Allan Winans,642216,NYY,SP,Winans,Allan,Winans,Allan
