#,Name,MLBAMID,Team,STD_POS,Last,First,Lastv2,Firstv2
1295,Joey Gerber,680702,TB,RP,Gerber,Joey,Gerber,Joey
1296,Nick Sandlin,680704,TOR,RP,Sandlin,Nick,Sandlin,Nick
1300,Drew Rom,680723,STL,SP,Rom,Drew,Rom,Drew
1302,Garrett McDaniels,680729,LAD,RP,McDaniels,Garrett,McDaniels,Garrett
1303,Mitchell Parker,680730,WSH,SP,Parker,Mitchell,Parker,Mitchell
1304,Sean Burke,680732,CHW,SP,Burke,Sean,Burke,Sean
1305,Austin Cox,680735,ATL,RP,Cox,Austin,Cox,Austin
1306,Justin Wrobleski,680736,LAD,RP,Wrobleski,Justin,Wrobleski,Justin
1308,Josh Winder,680739,ARI,RP,Winder,Josh,Winder,Josh
1309,Jonathan Bowlan,680742,KC,RP,Bowlan,Jonathan,Bowlan,Jonathan
1310,Ty Madden,680744,DET,RP,Madden,Ty,Madden,Ty
1312,Victor Vodnik,680767,COL,RP,Vodnik,Victor,Vodnik,Victor
1320,Grant Holman,680880,ATH,RP,Holman,Grant,Holman,Grant
1321,Spencer Schwellenbach,680885,ATL,SP,Schwellenbach,Spencer,Schwellenbach,Spencer
1322,Jack Neely,680891,CHC,RP,Neely,Jack,Neely,Jack
1323,Nick Nastrini,680897,LAD,SP,Nastrini,Nick,Nastrini,Nick
1325,Franco Aleman,680916,CLE,RP,Aleman,Franco,Aleman,Franco
1326,Doug Nikhazy,680951,CLE,RP,Nikhazy,Doug,Nikhazy,Doug
1328,Kelvin Caceres,680983,LAA,RP,Caceres,Kelvin,Caceres,Kelvin
1329,Christian Scott,681035,NYM,SP,Scott,Christian,Scott,Christian
1330,Ky Bush,681066,CHW,SP,Bush,Ky,Bush,Ky
1333,Jayden Murray,681151,HOU,RP,Murray,Jayden,Murray,Jayden
1334,Luis Curvelo,681168,TEX,RP,Curvelo,Luis,Curvelo,Luis
1335,Randy Vasquez,681190,SD,SP,Vasquez,Randy,Vásquez,Randy
1336,Chase Silseth,681217,LAA,RP,Silseth,Chase,Silseth,Chase
1337,Spencer Arrighetti,681293,HOU,SP,Arrighetti,Spencer,Arrighetti,Spencer
1339,Shane Smith,681343,CHW,SP,Smith,Shane,Smith,Shane
1340,Mike Burrows,681347,PIT,SP,Burrows,Mike,Burrows,Mike
1343,Josh Green,681401,ARI,RP,Green,Josh,Green,Josh
1344,Gus Varland,681402,ARI,RP,Varland,Gus,Varland,Gus
1345,Luke Little,681432,CHC,RP,Little,Luke,Little,Luke
1349,Kyle Leahy,681517,STL,RP,Leahy,Kyle,Leahy,Kyle
1350,Antoine Kelly,681520,COL,RP,Kelly,Antoine,Kelly,Antoine
1355,Ryan Fernandez,681676,STL,RP,Fernandez,Ryan,Fernandez,Ryan
1357,Ethan Roberts,681799,CHC,RP,Roberts,Ethan,Roberts,Ethan
1358,Andrew Wantz,681806,TB,RP,Wantz,Andrew,Wantz,Andrew
1360,Chris Vallimont,681808,LAD,RP,Vallimont,Chris,Vallimont,Chris
1361,Austin Warren,681810,NYM,RP,Warren,Austin,Warren,Austin
1362,Reese Olson,681857,DET,SP,Olson,Reese,Olson,Reese
1363,Cooper Criswell,681867,BOS,RP,Criswell,Cooper,Criswell,Cooper
1364,Shawn Dubin,681869,BAL,RP,Dubin,Shawn,Dubin,Shawn
1365,Erik Sabrowski,681870,CLE,RP,Sabrowski,Erik,Sabrowski,Erik
1366,Colin Selby,681882,BAL,RP,Selby,Colin,Selby,Colin
1367,Evan Lee,681885,WSH,RP,Lee,Evan,Lee,Evan
1368,Kody Funderburk,681892,MIN,RP,Funderburk,Kody,Funderburk,Kody
1369,Alex Vesia,681911,LAD,RP,Vesia,Alex,Vesia,Alex
1371,Grant Anderson,681982,MIL,RP,Anderson,Grant,Anderson,Grant
1373,Garrett Hill,682051,SEA,RP,Hill,Garrett,Hill,Garrett
1374,Jacob Lopez,682052,ATH,SP,Lopez,Jacob,Lopez,Jacob
1377,Tim Herrin,682120,CLE,RP,Herrin,Tim,Herrin,Tim
1378,Evan Reifert,682126,TB,RP,Reifert,Evan,Reifert,Evan
1379,Joe Jacques,682175,NYM,RP,Jacques,Joe,Jacques,Joe
1383,Brandon Williamson,682227,CIN,SP,Williamson,Brandon,Williamson,Brandon
1384,Bryce Miller,682243,SEA,SP,Miller,Bryce,Miller,Bryce
1385,Mason Montgomery,682254,TB,RP,Montgomery,Mason,Montgomery,Mason
1388,Roddery Munoz,682610,STL,RP,Munoz,Roddery,Muñoz,Roddery
1393,Richard Gallardo,682620,TOR,SP,Gallardo,Richard,Gallardo,Richard
1398,Osiel Rodriguez,682640,NYY,RP,Rodriguez,Osiel,Rodriguez,Osiel
1407,Eiberson Castellano,682769,PHI,SP,Castellano,Eiberson,Castellano,Eiberson
1408,Wikelman Gonzalez,682790,CHW,RP,Gonzalez,Wikelman,González,Wikelman
1409,Luis Mey,682825,CIN,RP,Mey,Luis,Mey,Luis
1411,Abner Uribe,682842,MIL,RP,Uribe,Abner,Uribe,Abner
1412,Luis L. Ortiz,682847,CLE,SP,Ortiz,Luis L.,Ortiz,Luis L.
1418,Devin Sweet,682967,PHI,RP,Sweet,Devin,Sweet,Devin
1419,Daniel Espino,682982,CLE,SP,Espino,Daniel,Espino,Daniel
1423,Victor Mederos,682989,LAA,SP,Mederos,Victor,Mederos,Victor
1424,Quinn Priester,682990,MIL,SP,Priester,Quinn,Priester,Quinn
1428,Jared Jones,683003,PIT,SP,Jones,Jared,Jones,Jared
1429,Jack Leiter,683004,TEX,SP,Leiter,Jack,Leiter,Jack
1433,Zach Penrod,683068,LAD,RP,Penrod,Zach,Penrod,Zach
1437,Joey Estes,683155,ATH,SP,Estes,Joey,Estes,Joey
1438,Connor Phillips,683175,CIN,RP,Phillips,Connor,Phillips,Connor
1440,Nick Mears,683232,MIL,RP,Mears,Nick,Mears,Nick
1442,Angel Chivilli,683409,COL,RP,Chivilli,Angel,Chivilli,Angel
1444,Jairo Iriarte,683568,CHW,RP,Iriarte,Jairo,Iriarte,Jairo
1445,Edgardo Henriquez,683618,LAD,RP,Henriquez,Edgardo,Henriquez,Edgardo
1446,Anthony Molina,683627,COL,SP,Molina,Anthony,Molina,Anthony
1447,Royber Salinas,683690,ATL,SP,Salinas,Royber,Salinas,Royber
1451,Matt Canterino,683764,MIN,SP,Canterino,Matt,Canterino,Matt
1453,Hunter Gaddis,683769,CLE,RP,Gaddis,Hunter,Gaddis,Hunter
1456,Shota Imanaga,684007,CHC,SP,Imanaga,Shota,Imanaga,Shota
1457,Yariel Rodriguez,684320,TOR,RP,Rodriguez,Yariel,Rodríguez,Yariel
1458,Craig Yoho,684974,MIL,RP,Yoho,Craig,Yoho,Craig
1459,Anthony Veneziano,685107,STL,RP,Veneziano,Anthony,Veneziano,Anthony
1460,Austin Kitchen,685116,SEA,SP,Kitchen,Austin,Kitchen,Austin
1461,Brandon Eisert,685126,CHW,RP,Eisert,Brandon,Eisert,Brandon
1463,Tanner Gordon,685299,COL,SP,Gordon,Tanner,Gordon,Tanner
1465,Andrew Saalfrank,685314,ARI,RP,Saalfrank,Andrew,Saalfrank,Andrew
1466,McCade Brown,685326,COL,SP,Brown,McCade,Brown,McCade
1467,Misael Tamarez,685377,HOU,SP,Tamarez,Misael,Tamarez,Misael
1469,Hunter Bigge,685801,TB,RP,Bigge,Hunter,Bigge,Hunter
1471,Emmet Sheehan,686218,LAD,SP,Sheehan,Emmet,Sheehan,Emmet
1479,Declan Cronin,686539,TEX,RP,Cronin,Declan,Cronin,Declan
1482,Jonathan Cannon,686563,CHW,SP,Cannon,Jonathan,Cannon,Jonathan
1483,Justin Slaten,686580,BOS,RP,Slaten,Justin,Slaten,Justin
1484,Ken Waldichuk,686610,ATH,SP,Waldichuk,Ken,Waldichuk,Ken
1486,Hunter Brown,686613,HOU,SP,Brown,Hunter,Brown,Hunter
1487,Fraser Ellard,686642,CHW,RP,Ellard,Fraser,Ellard,Fraser
1488,Levi Stoudt,686651,BAL,SP,Stoudt,Levi,Stoudt,Levi
1489,Ty Adcock,686654,NYM,RP,Adcock,Ty,Adcock,Ty
1493,Ryan Bergert,686701,KC,SP,Bergert,Ryan,Bergert,Ryan
1494,Carson Spiers,686730,CIN,SP,Spiers,Carson,Spiers,Carson
1495,Joe La Sorsa,686747,NYM,RP,La Sorsa,Joe,La Sorsa,Joe
1496,Seth Johnson,686751,PHI,RP,Johnson,Seth,Johnson,Seth
1497,Ryan Pepiot,686752,TB,SP,Pepiot,Ryan,Pepiot,Ryan
1498,Drey Jameson,686753,ARI,RP,Jameson,Drey,Jameson,Drey
1501,Blake Walston,686796,ARI,RP,Walston,Blake,Walston,Blake
1503,Jack Kochanowicz,686799,LAA,SP,Kochanowicz,Jack,Kochanowicz,Jack
1505,Bryce Jarvis,686826,ARI,RP,Jarvis,Bryce,Jarvis,Bryce
1506,Colby White,686831,NYY,RP,White,Colby,White,Colby
1507,Brendan White,686839,DET,SP,White,Brendan,White,Brendan
1508,Reggie Crawford,686846,SF,RP,Crawford,Reggie,Crawford,Reggie
1510,Mason Barnett,686930,ATH,SP,Barnett,Mason,Barnett,Mason
1512,Cole Waites,686972,SF,RP,Waites,Cole,Waites,Cole
1513,Louis Varland,686973,TOR,RP,Varland,Louis,Varland,Louis
1514,Justin Sterner,686993,ATH,RP,Sterner,Justin,Sterner,Justin
1515,Brandon Young,687064,BAL,SP,Young,Brandon,Young,Brandon
1517,Brandon Sproat,687075,NYM,SP,Sproat,Brandon,Sproat,Brandon
1519,Bradley Blalock,687134,COL,SP,Blalock,Bradley,Blalock,Bradley
1520,Evan Justice,687145,COL,RP,Justice,Evan,Justice,Evan
1521,Zach Maxwell,687209,CIN,RP,Maxwell,Zach,Maxwell,Zach
1525,K.C. Hunt,687268,MIL,SP,Hunt,K.C.,Hunt,K.C.
1526,Quinn Mathews,687273,STL,SP,Mathews,Quinn,Mathews,Quinn
1528,Kevin Kelly,687330,TB,RP,Kelly,Kevin,Kelly,Kevin
1529,Connor Gillispie,687362,MIN,SP,Gillispie,Connor,Gillispie,Connor
1531,Orlando Ribalta,687377,WSH,RP,Ribalta,Orlando,Ribalta,Orlando
1533,Brent Headrick,687396,NYY,RP,Headrick,Brent,Headrick,Brent
1535,Anthony Maldonado,687424,ATH,RP,Maldonado,Anthony,Maldonado,Anthony
1538,Ryan Gusto,687473,MIA,SP,Gusto,Ryan,Gusto,Ryan
1542,Dom Hamel,687589,TEX,SP,Hamel,Dom,Hamel,Dom
1544,Paxton Schultz,687606,TOR,RP,Schultz,Paxton,Schultz,Paxton
1548,Mitch Spence,687765,ATH,SP,Spence,Mitch,Spence,Mitch
1549,DJ Herz,687792,WSH,SP,Herz,DJ,Herz,DJ
1550,Nick Robertson,687798,KC,RP,Robertson,Nick,Robertson,Nick
1552,Sawyer Gipson-Long,687830,DET,SP,Gipson-Long,Sawyer,Gipson-Long,Sawyer
1553,Marc Church,687847,TEX,RP,Church,Marc,Church,Marc
1555,Porter Hodge,687863,CHC,RP,Hodge,Porter,Hodge,Porter
1556,Brandon Walter,687888,HOU,SP,Walter,Brandon,Walter,Brandon
1557,Bryan King,687911,HOU,RP,King,Bryan,King,Bryan
1558,Easton Lucas,687922,TOR,SP,Lucas,Easton,Lucas,Easton
1559,Julian Aguiar,687924,CIN,SP,Aguiar,Julian,Aguiar,Julian
1560,Carson Whisenhunt,687931,SF,SP,Whisenhunt,Carson,Whisenhunt,Carson
1563,Robert Gasser,688107,MIL,SP,Gasser,Robert,Gasser,Robert
1564,Logan Evans,688138,SEA,SP,Evans,Logan,Evans,Logan
1565,Chris Roycroft,688297,STL,RP,Roycroft,Chris,Roycroft,Chris
1567,Kolton Ingram,688427,ATL,RP,Ingram,Kolton,Ingram,Kolton
1569,Zach Agnos,688642,COL,RP,Agnos,Zach,Agnos,Zach
1571,Landon Knack,689017,LAD,SP,Knack,Landon,Knack,Landon
1572,Orion Kerkering,689147,PHI,RP,Kerkering,Orion,Kerkering,Orion
1573,Chad Dallas,689149,TOR,SP,Dallas,Chad,Dallas,Chad
1576,Beau Brieske,689225,DET,RP,Brieske,Beau,Brieske,Beau
1577,Mason Fluharty,689254,TOR,RP,Fluharty,Mason,Fluharty,Mason
1578,Dylan Dodd,689266,ATL,RP,Dodd,Dylan,Dodd,Dylan
1581,Drew Thorpe,689672,CHW,SP,Thorpe,Drew,Thorpe,Drew
1582,Alek Jacob,689690,SD,RP,Jacob,Alek,Jacob,Alek
1583,Andrew Walters,689958,CLE,RP,Walters,Andrew,Walters,Andrew
1584,River Ryan,689981,LAD,SP,Ryan,River,Ryan,River
1587,Ben Joyce,690829,LAA,RP,Joyce,Ben,Joyce,Ben
1588,Richard Fitts,690916,BOS,SP,Fitts,Richard,Fitts,Richard
1590,Clayton Beeter,690925,WSH,RP,Beeter,Clayton,Beeter,Clayton
1591,Hunter Dobbins,690928,BOS,SP,Dobbins,Hunter,Dobbins,Hunter
1592,Mick Abel,690953,MIN,SP,Abel,Mick,Abel,Mick
1595,Dax Fulton,690978,MIA,SP,Fulton,Dax,Fulton,Dax
1596,Kyle Harrison,690986,BOS,SP,Harrison,Kyle,Harrison,Kyle
1599,Cade Horton,690990,CHC,SP,Horton,Cade,Horton,Cade
1601,Nolan McLean,690997,NYM,SP,McLean,Nolan,McLean,Nolan
1609,Yosver Zulueta,691172,CIN,RP,Zulueta,Yosver,Zulueta,Yosver
1615,Moises Chace,691330,PHI,SP,Chace,Moises,Chace,Moisés
1618,Cristian Mena,691441,ARI,RP,Mena,Cristian,Mena,Cristian
1619,Eury Perez,691587,MIA,SP,Perez,Eury,Pérez,Eury
1624,Jared Kelley,691721,CHW,RP,Kelley,Jared,Kelley,Jared
1626,Andrew Painter,691725,PHI,SP,Painter,Andrew,Painter,Andrew
1632,Grant Taylor,691799,CHW,RP,Taylor,Grant,Taylor,Grant
1633,Sem Robberse,691828,STL,RP,Robberse,Sem,Robberse,Sem
1637,George Klassen,691946,LAA,SP,Klassen,George,Klassen,George
1639,Sam Aldegheri,691951,LAA,SP,Aldegheri,Sam,Aldegheri,Sam
1642,Carlos Rodriguez,692230,MIL,RP,Rodriguez,Carlos,Rodriguez,Carlos
1643,Luis Guerrero,692285,BOS,RP,Guerrero,Luis,Guerrero,Luis
1644,Yoniel Curet,692414,TB,SP,Curet,Yoniel,Curet,Yoniel
1645,Winston Santos,692437,TEX,SP,Santos,Winston,Santos,Winston
1650,Nick Frasso,693308,LAD,RP,Frasso,Nick,Frasso,Nick
1651,Burl Carraway,693310,CHC,RP,Carraway,Burl,Carraway,Burl
1652,Tink Hence,693311,STL,SP,Hence,Tink,Hence,Tink
1653,Kyle Nicolas,693312,PIT,RP,Nicolas,Kyle,Nicolas,Kyle
1654,Carson Seymour,693313,SF,SP,Seymour,Carson,Seymour,Carson
1655,Bryan Woo,693433,SEA,SP,Woo,Bryan,Woo,Bryan
1656,Taylor Dollard,693440,SEA,SP,Dollard,Taylor,Dollard,Taylor
1657,Cam Schlittler,693645,NYY,SP,Schlittler,Cam,Schlittler,Cam
1658,Emiliano Teodo,693713,TEX,SP,Teodo,Emiliano,Teodo,Emiliano
1659,Bryce Elder,693821,ATL,SP,Elder,Bryce,Elder,Bryce
1660,Ian Seymour,693855,TB,SP,Seymour,Ian,Seymour,Ian
1661,Daniel Palencia,694037,CHC,RP,Palencia,Daniel,Palencia,Daniel
1667,Brandon Pfaadt,694297,ARI,SP,Pfaadt,Brandon,Pfaadt,Brandon
1668,Matt Svanson,694335,STL,RP,Svanson,Matt,Svanson,Matt
1669,Zach Brzykcy,694350,WSH,RP,Brzykcy,Zach,Brzykcy,Zach
1671,Ricky Tiedemann,694357,TOR,SP,Tiedemann,Ricky,Tiedemann,Ricky
1672,Tekoah Roby,694358,STL,SP,Roby,Tekoah,Roby,Tekoah
1674,Will Klein,694361,LAD,RP,Klein,Will,Klein,Will
1676,Jared Shuster,694363,ATH,RP,Shuster,Jared,Shuster,Jared
1684,Hurston Waldrep,694462,ATL,SP,Waldrep,Hurston,Waldrep,Hurston
1685,Chad Patrick,694477,MIL,SP,Patrick,Chad,Patrick,Chad
1688,Chase Hampton,694633,NYY,SP,Hampton,Chase,Hampton,Chase
1689,Chayce McDermott,694646,BAL,SP,McDermott,Chayce,McDermott,Chayce
1692,Landen Roupp,694738,SF,SP,Roupp,Landen,Roupp,Landen
1693,Gavin Stone,694813,LAD,SP,Stone,Gavin,Stone,Gavin
1694,Jacob Misiorowski,694819,MIL,SP,Misiorowski,Jacob,Misiorowski,Jacob
1695,Ryan Murphy,694885,SF,SP,Murphy,Ryan,Murphy,Ryan
1696,Paul Skenes,694973,PIT,SP,Skenes,Paul,Skenes,Paul
1697,Rhett Lowder,695076,CIN,SP,Lowder,Rhett,Lowder,Rhett
1699,Mason Miller,695243,SD,RP,Miller,Mason,Miller,Mason
1703,Brad Lord,695418,WSH,SP,Lord,Brad,Lord,Brad
1704,Chase Burns,695505,CIN,SP,Burns,Chase,Burns,Chase
1707,Chase Petty,695534,CIN,SP,Petty,Chase,Petty,Chase
1708,Jackson Jobe,695549,DET,SP,Jobe,Jackson,Jobe,Jackson
1715,Josh Stephan,695776,TEX,SP,Stephan,Josh,Stephan,Josh
1716,Wilmer Flores,695865,DET,RP,Flores,Wilmer,Flores,Wilmer
1719,Mason Black,696131,SF,SP,Black,Mason,Black,Mason
1720,Jordan Wicks,696136,CHC,SP,Wicks,Jordan,Wicks,Jordan
1721,Hagen Smith,696146,CHW,SP,Smith,Hagen,Smith,Hagen
1722,Sam Bachman,696147,LAA,RP,Bachman,Sam,Bachman,Sam
1723,Bubba Chandler,696149,PIT,SP,Chandler,Bubba,Chandler,Bubba
1724,Ryan Johnson,696270,LAA,RP,Johnson,Ryan,Johnson,Ryan
1726,Joe Rock,697812,TB,RP,Rock,Joe,Rock,Joe
1727,Miguel Ullola,699044,HOU,SP,Ullola,Miguel,Ullola,Miguel
1731,Troy Taylor,700187,SEA,RP,Taylor,Troy,Taylor,Troy
1732,Michael McGreevy,700241,STL,SP,McGreevy,Michael,McGreevy,Michael
1735,Cade Povich,700249,BAL,SP,Povich,Cade,Povich,Cade
1737,Yilber Diaz,700270,ARI,RP,Diaz,Yilber,Díaz,Yilber
1739,AJ Smith-Shawver,700363,ATL,SP,Smith-Shawver,AJ,Smith-Shawver,AJ
1740,Gordon Graceffo,700669,STL,RP,Graceffo,Gordon,Graceffo,Gordon
1742,Logan VanWey,701121,HOU,RP,VanWey,Logan,VanWey,Logan
1744,Jackson Ferris,701328,LAD,SP,Ferris,Jackson,Ferris,Jackson
1748,Pierson Ohl,701487,MIN,RP,Ohl,Pierson,Ohl,Pierson
1750,Will Warren,701542,NYY,SP,Warren,Will,Warren,Will
1751,David Festa,701581,MIN,SP,Festa,David,Festa,David
1752,Grant Hartwig,701643,NYM,RP,Hartwig,Grant,Hartwig,Grant
1754,Logan Henderson,701656,MIL,SP,Henderson,Logan,Henderson,Logan
1758,Justin Armbruester,701859,BAL,RP,Armbruester,Justin,Armbruester,Justin
1759,Will Dion,702021,CLE,SP,Dion,Will,Dion,Will
1760,Trey Yesavage,702056,TOR,SP,Yesavage,Trey,Yesavage,Trey
1761,Noah Cameron,702070,KC,SP,Cameron,Noah,Cameron,Noah
1763,Andrew Morris,702193,MIN,RP,Morris,Andrew,Morris,Andrew
1766,Noah Schultz,702273,CHW,SP,Schultz,Noah,Schultz,Noah
1767,Robby Snelling,702281,MIA,SP,Snelling,Robby,Snelling,Robby
1772,Spencer Bivens,702352,SF,RP,Bivens,Spencer,Bivens,Spencer
1774,Jimmy Joyce,702460,SEA,SP,Joyce,Jimmy,Joyce,Jimmy
1777,Caden Dana,702674,LAA,SP,Dana,Caden,Dana,Caden
1778,Ryan Loutos,702795,WSH,RP,Loutos,Ryan,Loutos,Ryan
1780,Jarlin Susana,703186,WSH,SP,Susana,Jarlin,Susana,Jarlin
1781,Parker Messick,800048,CLE,SP,Messick,Parker,Messick,Parker
1782,Adam Mazur,800049,MIA,SP,Mazur,Adam,Mazur,Adam
1784,Didier Fuentes,800311,ATL,SP,Fuentes,Didier,Fuentes,Didier
1785,Payton Tolle,801139,BOS,SP,Tolle,Payton,Tolle,Payton
1786,Chase Dollander,801403,COL,SP,Dollander,Chase,Dollander,Chase
1788,Drue Hackenberg,802357,ATL,SP,Hackenberg,Drue,Hackenberg,Drue
1790,Thomas Harrington,802419,PIT,SP,Harrington,Thomas,Harrington,Thomas
1791,Reid VanScoter,804577,SEA,SP,VanScoter,Reid,VanScoter,Reid
1792,Jonah Tong,804636,NYM,SP,Tong,Jonah,Tong,Jonah
1793,AJ Blubaugh,805123,HOU,SP,Blubaugh,AJ,Blubaugh,AJ
1798,Zebby Matthews,805673,MIN,SP,Matthews,Zebby,Matthews,Zebby
1803,Hayden Birdsong,806185,SF,SP,Birdsong,Hayden,Birdsong,Hayden
1806,Luis Morales,806960,ATH,SP,Morales,Luis,Morales,Luis
1811,Roki Sasaki,808963,LAD,SP,Sasaki,Roki,Sasaki,Roki
1812,Yoshinobu Yamamoto,808967,LAD,SP,Yamamoto,Yoshinobu,Yamamoto,Yoshinobu
1813,Woo-Suk Go,808970,DET,RP,Go,Woo-Suk,Go,Woo-Suk
1818,Connelly Early,813349,BOS,SP,Early,Connelly,Early,Connelly
1819,Jake Bloss,814005,TOR,SP,Bloss,Jake,Bloss,Jake
1823,Shinnosuke Ogasawara,829272,WSH,SP,Ogasawara,Shinnosuke,Ogasawara,Shinnosuke
1824,Koyo Aoyagi,829460,PHI,RP,Aoyagi,Koyo,Aoyagi,Koyo
1825,Shohei Ohtani,660271,LAD,SP,Ohtani,Shohei,Ohtani,Shohei
