"pitcher","game_year","num_pitch_types","pitch_arsenal","total_combinations","total_pitches","release_similarity_arsenal","approach_divergence_arsenal","tunnel_quality_arsenal","tunnel_quality_percentile","release_sim_percentile","approach_div_percentile","tunneling_plus_score","tunneling_plus_percentile","avg_actual_rv","avg_xRV"
552640,2024,3,"FF/SI/SL",6,6126,0.311051427974371,0.903535937702145,0.607293682838258,98.1,95.7,89.9,105.9,88.5,-0.0189941234084231,-0.0132809826503549
592866,2024,5,"CH/FF/SI/SL/ST",20,12768,0.357603573958431,0.856418286807507,0.607010930382969,98,99.6,29.1,101.1,51.7,-0.0177102539981185,-0.00952060364224766
669276,2024,3,"CH/FF/SL",6,5148,0.323411781622985,0.889685152407721,0.606548467015353,98,97.9,78.5,106.1,89.7,-0.0192823803967328,-0.0134593402334808
669459,2024,3,"FC/FF/SL",6,870,0.368012549105296,0.844325544892757,0.606169046999027,97.9,99.9,15.3,98.9,29.5,-0.0216,-0.00785488364696182
592662,2023,2,"FF/SL",2,270,0.331951005440808,0.880323533676565,0.606137269558687,97.9,98.7,66.3,97.1,17.1,-2.2222222222221e-05,-0.00648219938504755
669111,2024,2,"FF/SL",2,537,0.270008127973669,0.942043357534068,0.606025742753868,97.9,75.2,98.1,104.1,77.9,-0.0266536312849162,-0.0118675088850058
680742,2023,3,"FF/SI/SL",6,312,0.305429605320712,0.906553624372774,0.605991614846743,97.8,93.7,91.6,101.3,54.2,0.00759615384615385,-0.0097230703686364
607179,2025,3,"FF/FS/SL",6,576,0.309787371006567,0.902052707914214,0.605920039460391,97.8,95.4,89,100.6,45.7,0.0182395833333333,-0.00916573846673903
621242,2024,2,"FF/SL",2,2736,0.279694122343786,0.930717367155003,0.605205744749395,97.7,81.7,96.9,105.9,88.5,-0.0129495614035088,-0.0132534115423608
656464,2025,3,"FF/SI/SL",6,2946,0.307031512287469,0.903123863535897,0.605077687911683,97.7,94.5,89.8,101.4,55.1,-0.00255804480651731,-0.00979712165593617
669432,2023,4,"CH/FF/SI/SL",12,2970,0.334688266127848,0.875438832044115,0.605063549085981,97.6,98.9,59.4,97.4,19,-0.0152878787878788,-0.00670695491229928
656629,2025,2,"FC/FF",2,678,0.28634960797652,0.923641437797216,0.604995522886868,97.6,85.8,96.1,115.7,99.6,-0.0233990610328638,-0.0208420053329658
663432,2023,2,"FF/SL",2,54,0.260021745902872,0.949813485702153,0.604917615802513,97.6,67.2,98.7,111,98.3,-0.0222222222222222,-0.0172303586473895
543351,2023,2,"FF/SL",2,1308,0.26788884431567,0.941384952131507,0.604636898223588,97.5,73.6,98.1,104.8,82.7,-0.0277701149425287,-0.0124461220567323
622110,2023,2,"CH/FA",2,87,0.320318961716079,0.888253136356268,0.604286049036173,97.5,97.4,76.4,76.6,2.1,0.0215172413793103,0.00938494369419741
675911,2023,3,"CH/FF/SL",6,18576,0.293289019759843,0.91496791877315,0.604128469266496,97.4,89.4,94.2,110,97.6,-0.0154667312661499,-0.0164581746285718
682254,2024,2,"FF/SL",2,474,0.311086963742166,0.896342801121916,0.603714882432042,97.4,95.7,84.9,112,98.9,-0.0131329113924051,-0.0179739649292624
663546,2024,3,"FC/KC/SI",6,7254,0.314168890050769,0.892581227338277,0.603375058694523,97.4,96.3,81.7,107.4,93.4,-0.0137225913621262,-0.0144558749094944
543351,2024,4,"CH/FF/SI/SL",12,4077,0.33081391340964,0.874897465436127,0.602855689422883,97.3,98.6,58.4,96.6,14.2,0.00286252771618625,-0.0061064789123724
686993,2025,3,"FC/FF/ST",6,6552,0.271680467404481,0.933848366228148,0.602764416816314,97.3,76.7,97.3,107.1,92.8,-0.0153608058608059,-0.0142273181031719
676755,2025,4,"CH/CU/FF/SL",12,6993,0.305623390976062,0.899141227369502,0.602382309172782,97.2,93.8,87.2,106.4,90.8,-0.023606100795756,-0.0136406772316022
605154,2023,2,"FF/SL",2,2007,0.236083226784387,0.967748284898873,0.601915755841629,97.2,43.3,99.3,101,50.8,-0.00917001545595054,-0.00946347701094359
595014,2024,4,"FC/FF/SI/ST",12,6633,0.290135890839187,0.913303913195537,0.601719902017362,97.1,87.7,93.9,107.9,94.9,-0.0195915875169607,-0.0148287239875278
650671,2023,3,"CH/FF/SL",6,960,0.25842836441046,0.944805566085379,0.601616965247919,97.1,65.9,98.3,101.1,51.7,-0.0227354838709677,-0.00953715015559517
622491,2025,4,"CH/FF/SI/SL",12,26892,0.331698224743902,0.871408564544323,0.601553394644112,97.1,98.6,52.2,100.8,48.4,-0.0110214870395634,-0.00933366015819032
677053,2023,3,"CH/FF/SL",6,5748,0.253240980392288,0.949055248507145,0.601148114449717,97,61.8,98.6,104.3,79.4,-0.0129968652037618,-0.0120279974332848
687424,2025,2,"FF/SL",2,387,0.23942365262623,0.962609406072686,0.601016529349457,97,46.6,99.1,100.3,42.9,0.0302170542635659,-0.00890680135529156
606160,2024,4,"CH/FF/SI/SL",12,6147,0.321644224095204,0.880173579786801,0.600908901941002,96.9,97.8,66,102.9,68.4,-0.00292386530014641,-0.0109228748416287
660813,2023,4,"FC/FF/SI/SL",12,8361,0.341629183360247,0.860171048814,0.600900116087124,96.9,99.2,35.1,116.4,99.8,-0.0269343379978471,-0.0213792626391129
642121,2023,3,"CH/FF/SL",6,504,0.285087450017105,0.916666645285922,0.600877047651514,96.9,85.1,94.9,104.5,80.8,0.0164761904761905,-0.0121795027364334
606930,2024,3,"FC/FF/SL",6,6702,0.334057753468914,0.867691744509806,0.60087474898936,96.8,98.8,45.7,102,60.7,-0.00546821844225604,-0.0102191624738692
674003,2023,4,"CH/FC/FF/SL",12,8766,0.326922564698524,0.874294664147372,0.600608614422948,96.8,98.2,57.2,98.1,23,-0.00534086242299795,-0.00719935023388022
681867,2025,4,"CH/FC/SI/ST",12,2484,0.320546841869725,0.880214109087493,0.600380475478609,96.7,97.5,66,98.6,26.9,0.000297101449275362,-0.00763805721832163
552640,2023,3,"FF/SI/SL",6,1116,0.306529523813844,0.892543375959539,0.599536449886692,96.7,94.3,81.5,105.9,88.5,-0.0153333333333333,-0.0132609348235932
594798,2023,4,"CH/CU/FF/SL",12,4059,0.308029545370713,0.890899315353433,0.599464430362073,96.7,94.8,79.7,110.4,97.9,-0.0194035476718404,-0.0167705590694153
647315,2024,3,"FC/SI/SL",6,4392,0.306270828006211,0.892462851238616,0.599366839622414,96.6,94.2,81.3,108,95.1,-0.00763114754098361,-0.0149310745671089
593833,2025,2,"CH/FC",2,420,0.296712999948148,0.900494060254828,0.598603530101488,96.6,90.7,88.2,96.9,15.9,0.0198571428571429,-0.00633297418607981
650960,2024,4,"CH/FC/FF/SL",12,477,0.299333550199448,0.897778526048865,0.598556038124157,96.5,91.5,86.2,105.5,86.6,-0.0273653846153846,-0.0129640699328425
677053,2024,3,"CH/FF/SL",6,5436,0.26135299033975,0.935699264522541,0.598526127431146,96.5,68.5,97.5,104.5,80.8,-0.0064326710816777,-0.0121640327095552
543339,2024,4,"CH/FF/SI/SL",12,8991,0.314609874008131,0.882035914007759,0.598322894007945,96.4,96.4,68.6,103.4,72.8,-0.0133123123123123,-0.0113075495383501
641729,2024,3,"CH/FF/SL",6,6534,0.288491284604038,0.908077974990469,0.598284629797253,96.4,86.9,92,103.5,73.5,-0.0277325367647059,-0.0114084540694234
606160,2025,4,"FF/FS/SI/SL",12,9792,0.326921521305264,0.869175225707955,0.598048373506609,96.4,98.1,48.3,100.7,47.1,-0.0172215073529412,-0.00924010619594556
641656,2023,3,"FF/SI/SL",6,5874,0.301688336445861,0.894408024650818,0.59804818054834,96.3,92.2,83,107,92.6,-0.0156072164948454,-0.0140946844148032
678226,2025,2,"FF/SL",2,2151,0.263885424136896,0.930423332435753,0.597154378286324,96.3,70.4,96.8,103.9,76.6,-0.011463040446304,-0.0117556053859417
642100,2023,4,"CH/FF/SI/SL",12,7038,0.307777179334785,0.886439884655956,0.59710853199537,96.2,94.7,74.3,97.7,20.6,-0.0135485933503836,-0.00691433241443478
664747,2025,2,"FF/SL",2,1083,0.270296409912,0.923037080238814,0.596666745075408,96.2,75.5,96,104.8,82.7,0.00178670360110803,-0.0124302513671199
656629,2024,3,"FC/FF/SL",6,6846,0.260753569605828,0.932199735056939,0.596476652331383,96.2,68,97,113.6,99.3,-0.0172191060473269,-0.0191978754321113
663795,2025,4,"CH/FC/SI/SL",12,3447,0.321525323346068,0.870916393091435,0.596220858218751,96.1,97.6,51.5,99.7,37.4,-0.00725065274151436,-0.00849942330987735
608678,2023,4,"FC/FF/SI/SL",12,7974,0.306165210534915,0.886068184519975,0.596116697527445,96.1,94.1,74,101.6,57.1,-0.001696,-0.00992505331219374
805427,2025,3,"FF/SI/SL",6,462,0.285446248085913,0.906479553999271,0.595962901042592,96,85.3,91.5,98.8,28.6,0.0329350649350649,-0.00778676925889253
682967,2023,3,"CH/FF/SL",6,996,0.267032630719473,0.924481252512941,0.595756941616207,96,72.8,96.2,95.5,9.8,0.0127771084337349,-0.00522511709005998
664139,2024,2,"FC/FF",2,87,0.36431233196092,0.827099635890366,0.595705983925643,96,99.7,5.5,100.3,42.9,-0.0428620689655172,-0.00896260837606829
502083,2023,4,"CH/FC/FF/ST",12,1062,0.32973205591884,0.861452837340123,0.595592446629482,95.9,98.4,36.6,92,4.1,0.0171271186440678,-0.00254617119084657
641743,2023,4,"CH/FF/SL/ST",12,2070,0.286429835383279,0.904453959184646,0.595441897283963,95.9,85.9,90.5,101.3,54.2,-0.00239737991266376,-0.00972085885135975
660593,2023,5,"CH/FC/FF/SI/SL",20,4284,0.310145678438636,0.880677752575915,0.595411715507276,95.8,95.5,66.7,94.1,6.6,0.000322946175637394,-0.00413107219550661
663432,2025,2,"FF/SL",2,603,0.263822182099274,0.926726483578782,0.595274332839028,95.8,70.3,96.4,106.9,92.3,-0.0155522388059701,-0.0140252458880046
669276,2025,3,"CH/FF/SL",6,6612,0.333898878003047,0.856201740523228,0.595050309263138,95.7,98.8,28.9,100.8,48.4,-0.0155145190562613,-0.00928565474093595
595928,2023,2,"FF/SL",2,885,0.255130643562428,0.934206273199332,0.59466845838088,95.7,63.1,97.4,103.6,74.3,-0.00829310344827586,-0.0114555788463772
680739,2024,5,"CH/FF/SI/SL/ST",20,1692,0.304182605068426,0.885111912552175,0.5946472588103,95.7,92.9,72.8,99.7,37.4,-0.0217872340425532,-0.00848268476409379
641871,2023,3,"CH/FF/SL",6,5136,0.301769264370607,0.887391513360938,0.594580388865772,95.6,92.4,75.5,101.2,53,-0.0147087719298246,-0.00965446145855822
669276,2023,3,"CH/FF/SL",6,2328,0.304830192975219,0.88404928039752,0.594439736686369,95.6,93.2,71.7,99.4,34.6,-0.0129510309278351,-0.00821006550188368
663671,2025,3,"CU/FF/SL",6,3186,0.294719909575995,0.894055326588018,0.594387618082006,95.5,90.1,82.8,104.1,77.9,-0.0166967984934087,-0.0119107813473141
685126,2025,4,"CH/FF/SI/SL",12,10944,0.317199070437334,0.871456699416226,0.59432788492678,95.5,96.8,52.3,91.8,4,0.00246217105263158,-0.00238538586476005
656240,2024,3,"FF/FS/SL",6,1914,0.334220079070329,0.853765781177749,0.593992930124039,95.5,98.8,25.5,92.4,4.5,-0.0127931034482759,-0.00282467488566304
552640,2025,4,"FF/FS/SI/SL",12,6912,0.300552861308335,0.887090341650645,0.59382160147949,95.4,91.8,75.2,104.1,77.9,-0.0193684895833333,-0.011856585333021
676105,2024,4,"CH/CU/FF/SL",12,3186,0.297890715017565,0.889584589709686,0.593737652363626,95.4,91.2,78.4,99.6,36.6,0.00127966101694915,-0.00841915713188088
656420,2024,3,"CH/FF/SL",6,1062,0.292451789148376,0.894986431255849,0.593719110202112,95.3,88.9,83.4,102.3,63.4,-0.00347457627118644,-0.0104594145633318
608638,2024,3,"FF/SI/SL",6,3162,0.29740176586731,0.889701262259184,0.593551514063247,95.3,91,78.5,101.5,56.3,-0.0225351043643264,-0.00987710603532705
605154,2024,2,"FF/SL",2,2982,0.218460624497011,0.968451507158558,0.593456065827785,95.2,26.6,99.3,97.5,19.5,-0.00508853118712274,-0.00678423542940546
641401,2023,3,"CH/FC/FF",6,3264,0.295743724097199,0.891069045811977,0.593406384954588,95.2,90.4,79.8,100.2,42,-0.00399080882352941,-0.00882649604516379
660853,2024,3,"CH/FF/SL",6,6756,0.305352466787973,0.881310717665832,0.593331592226903,95.2,93.6,67.7,95.3,9,-0.00077619893428064,-0.00509371021769211
