"pitcher","game_year","num_pitch_types","pitch_arsenal","total_combinations","total_pitches","release_similarity_arsenal","approach_divergence_arsenal","tunnel_quality_arsenal"
647315,2024,3,"FC/SI/SL",6,4392,0.306270828006211,0.892462851238616,0.599366839622414
593833,2025,2,"CH/FC",2,420,0.296712999948148,0.900494060254828,0.598603530101488
650960,2024,4,"CH/FC/FF/SL",12,477,0.299333550199448,0.897778526048865,0.598556038124157
677053,2024,3,"CH/FF/SL",6,5436,0.26135299033975,0.935699264522541,0.598526127431146
543339,2024,4,"CH/FF/SI/SL",12,8991,0.314609874008131,0.882035914007759,0.598322894007945
641729,2024,3,"CH/FF/SL",6,6534,0.288491284604038,0.908077974990469,0.598284629797253
606160,2025,4,"FF/FS/SI/SL",12,9792,0.326921521305264,0.869175225707955,0.598048373506609
641656,2023,3,"FF/SI/SL",6,5874,0.301688336445861,0.894408024650818,0.59804818054834
678226,2025,2,"FF/SL",2,2151,0.263885424136896,0.930423332435753,0.597154378286324
642100,2023,4,"CH/FF/SI/SL",12,7038,0.307777179334785,0.886439884655956,0.59710853199537
664747,2025,2,"FF/SL",2,1083,0.270296409912,0.923037080238814,0.596666745075408
656629,2024,3,"FC/FF/SL",6,6846,0.260753569605828,0.932199735056939,0.596476652331383
663795,2025,4,"CH/FC/SI/SL",12,3447,0.321525323346068,0.870916393091435,0.596220858218751
608678,2023,4,"FC/FF/SI/SL",12,7974,0.306165210534915,0.886068184519975,0.596116697527445
805427,2025,3,"FF/SI/SL",6,462,0.285446248085913,0.906479553999271,0.595962901042592
682967,2023,3,"CH/FF/SL",6,996,0.267032630719473,0.924481252512941,0.595756941616207
664139,2024,2,"FC/FF",2,87,0.36431233196092,0.827099635890366,0.595705983925643
502083,2023,4,"CH/FC/FF/ST",12,1062,0.32973205591884,0.861452837340123,0.595592446629482
641743,2023,4,"CH/FF/SL/ST",12,2070,0.286429835383279,0.904453959184646,0.595441897283963
660593,2023,5,"CH/FC/FF/SI/SL",20,4284,0.310145678438636,0.880677752575915,0.595411715507276
663432,2025,2,"FF/SL",2,603,0.263822182099274,0.926726483578782,0.595274332839028
669276,2025,3,"CH/FF/SL",6,6612,0.333898878003047,0.856201740523228,0.595050309263138
595928,2023,2,"FF/SL",2,885,0.255130643562428,0.934206273199332,0.59466845838088
680739,2024,5,"CH/FF/SI/SL/ST",20,1692,0.304182605068426,0.885111912552175,0.5946472588103
641871,2023,3,"CH/FF/SL",6,5136,0.301769264370607,0.887391513360938,0.594580388865772
669276,2023,3,"CH/FF/SL",6,2328,0.304830192975219,0.88404928039752,0.594439736686369
663671,2025,3,"CU/FF/SL",6,3186,0.294719909575995,0.894055326588018,0.594387618082006
685126,2025,4,"CH/FF/SI/SL",12,10944,0.317199070437334,0.871456699416226,0.59432788492678
656240,2024,3,"FF/FS/SL",6,1914,0.334220079070329,0.853765781177749,0.593992930124039
552640,2025,4,"FF/FS/SI/SL",12,6912,0.300552861308335,0.887090341650645,0.59382160147949
676105,2024,4,"CH/CU/FF/SL",12,3186,0.297890715017565,0.889584589709686,0.593737652363626
656420,2024,3,"CH/FF/SL",6,1062,0.292451789148376,0.894986431255849,0.593719110202112
608638,2024,3,"FF/SI/SL",6,3162,0.29740176586731,0.889701262259184,0.593551514063247
605154,2024,2,"FF/SL",2,2982,0.218460624497011,0.968451507158558,0.593456065827785
641401,2023,3,"CH/FC/FF",6,3264,0.295743724097199,0.891069045811977,0.593406384954588
660853,2024,3,"CH/FF/SL",6,6756,0.305352466787973,0.881310717665832,0.593331592226903
605488,2023,4,"CH/FF/SL/ST",12,1899,0.282020893285319,0.904284221540956,0.593152557413137
600917,2023,5,"CH/FC/FF/SI/SL",20,11724,0.309434969685897,0.876587146503564,0.593011058094731
641941,2024,3,"FC/FF/FS",6,3558,0.305702976653793,0.880250389634136,0.592976683143964
656848,2025,3,"FC/FF/SI",6,1956,0.301090420764057,0.884597982238324,0.592844201501191
677020,2023,2,"CU/FF",2,645,0.248855529435137,0.936813530779945,0.592834530107541
686654,2023,2,"FF/SL",2,621,0.261795964841177,0.923758190563237,0.592777077702207
669618,2023,2,"FF/SL",2,429,0.298550201766726,0.886667763307513,0.59260898253712
571670,2023,4,"CH/FF/SI/SL",12,8649,0.328043526699717,0.857132704610228,0.592588115654972
641816,2025,4,"FC/FF/FS/SL",12,12429,0.305180152803965,0.879885729149548,0.592532940976756
621237,2025,3,"CU/FC/SI",6,2706,0.265715242322032,0.919210365908347,0.59246280411519
592527,2023,4,"CH/FF/SI/SL",12,351,0.307418120362167,0.87748923215686,0.592453676259514
