"pitcher","game_year","pitch_arsenal","n_pitches","avg_actual_rv","xrv_percentile","tunnel_quality_arsenal","release_similarity_arsenal","approach_divergence_arsenal","tunnel_quality_percentile","release_sim_percentile","approach_div_percentile","num_pitch_types","total_pitches","total_combinations"
606160,2024,"CH/FF/SI/SL",2049,-0.00292386530014641,29.8,0.600908901941002,0.321644224095204,0.880173579786801,97.1,97.9,66.2,4,6147,12
660813,2023,"FC/FF/SI/SL",2787,-0.0269343379978471,96.3,0.600900116087124,0.341629183360247,0.860171048814,97.1,99.2,35,4,8361,12
642121,2023,"CH/FF/SL",252,0.0164761904761905,6.1,0.600877047651514,0.285087450017105,0.916666645285922,97,85.2,95.3,3,504,6
606930,2024,"FC/FF/SL",3351,-0.00546821844225604,37.9,0.60087474898936,0.334057753468914,0.867691744509806,97,98.9,45.6,3,6702,6
674003,2023,"CH/FC/FF/SL",2922,-0.00534086242299795,37.6,0.600608614422948,0.326922564698524,0.874294664147372,96.9,98.3,57.4,4,8766,12
681867,2025,"CH/FC/SI/ST",828,0.000297101449275362,22.6,0.600380475478609,0.320546841869725,0.880214109087493,96.9,97.7,66.3,4,2484,12
552640,2023,"FF/SI/SL",558,-0.0153333333333333,75.3,0.599536449886692,0.306529523813844,0.892543375959539,96.8,94.4,81.9,3,1116,6
594798,2023,"CH/CU/FF/SL",1353,-0.0194035476718404,87.2,0.599464430362073,0.308029545370713,0.890899315353433,96.8,95,80,4,4059,12
647315,2024,"FC/SI/SL",2208,-0.00767934782608696,46.6,0.599366839622414,0.306270828006211,0.892462851238616,96.8,94.3,81.7,3,4392,6
593833,2025,"CH/FC",426,0.0203661971830986,4.7,0.598603530101488,0.296712999948148,0.900494060254828,96.7,90.8,88.6,2,420,2
650960,2024,"CH/FC/FF/SL",168,-0.025,95.1,0.598556038124157,0.299333550199448,0.897778526048865,96.7,91.6,86.6,4,477,12
677053,2024,"CH/FF/SL",2718,-0.0064326710816777,41.2,0.598526127431146,0.26135299033975,0.935699264522541,96.6,68.4,97.9,3,5436,6
543339,2024,"CH/FF/SI/SL",2997,-0.0133123123123123,69,0.598322894007945,0.314609874008131,0.882035914007759,96.6,96.6,68.9,4,8991,12
641729,2024,"CH/FF/SL",3267,-0.0276556473829201,96.8,0.598284629797253,0.288491284604038,0.908077974990469,96.6,87,92.4,3,6534,6
606160,2025,"FF/FS/SI/SL",3264,-0.0172215073529412,81.3,0.598048373506609,0.326921521305264,0.869175225707955,96.5,98.3,48.3,4,9792,12
641656,2023,"FF/SI/SL",2937,-0.015655771195097,76.7,0.59804818054834,0.301688336445861,0.894408024650818,96.5,92.3,83.4,3,5874,6
678226,2025,"FF/SL",2151,-0.011463040446304,61.7,0.597154378286324,0.263885424136896,0.930423332435753,96.4,70.3,97.1,2,2151,2
642100,2023,"CH/FF/SI/SL",2346,-0.0135485933503836,69.7,0.59710853199537,0.307777179334785,0.886439884655956,96.4,94.8,74.6,4,7038,12
664747,2025,"FF/SL",1083,0.00178670360110803,19.6,0.596666745075408,0.270296409912,0.923037080238814,96.3,75.5,96.3,2,1083,2
656629,2024,"FC/FF/SL",3429,-0.0170909886264217,81,0.596476652331383,0.260753569605828,0.932199735056939,96.3,67.9,97.4,3,6846,6
663795,2025,"CH/FC/SI/SL",1149,-0.00725065274151436,44.8,0.596220858218751,0.321525323346068,0.870916393091435,96.3,97.8,51.5,4,3447,12
608678,2023,"FC/FF/SI/SL",2658,-0.00152821670428894,26.7,0.596116697527445,0.306165210534915,0.886068184519975,96.2,94.3,74.3,4,7974,12
805427,2025,"FF/SI/SL",234,0.0381538461538462,1.7,0.595962901042592,0.285446248085913,0.906479553999271,96.2,85.4,91.9,3,462,6
682967,2023,"CH/FF/SL",498,0.0127771084337349,8.1,0.595756941616207,0.267032630719473,0.924481252512941,96.1,72.7,96.6,3,996,6
664139,2024,"FC/FF",120,-0.004525,34.6,0.595705983925643,0.36431233196092,0.827099635890366,96.1,99.7,5.1,2,87,2
502083,2023,"CH/FC/FF/ST",369,0.0201463414634146,4.8,0.595592446629482,0.32973205591884,0.861452837340123,96,98.5,36.5,4,1062,12
641743,2023,"CH/FF/SL/ST",690,-0.00351739130434783,31.4,0.595441897283963,0.286429835383279,0.904453959184646,96,86,90.9,4,2070,12
660593,2023,"CH/FC/FF/SI/SL",1071,0.000383753501400561,22.3,0.595411715507276,0.310145678438636,0.880677752575915,96,95.6,66.9,5,4284,20
663432,2025,"FF/SL",603,-0.0155522388059701,76.2,0.595274332839028,0.263822182099274,0.926726483578782,95.9,70.1,96.8,2,603,2
669276,2025,"CH/FF/SL",3306,-0.0155145190562613,75.9,0.595050309263138,0.333898878003047,0.856201740523228,95.9,98.8,28.7,3,6612,6
595928,2023,"FF/SL",903,-0.00925249169435216,53.3,0.59466845838088,0.255130643562428,0.934206273199332,95.8,63,97.7,2,885,2
680739,2024,"CH/FF/SI/SL/ST",423,-0.0217872340425532,91.6,0.5946472588103,0.304182605068426,0.885111912552175,95.8,93,73.1,5,1692,20
641871,2023,"CH/FF/SL",2568,-0.0138154205607477,70.6,0.594580388865772,0.301769264370607,0.887391513360938,95.8,92.5,75.8,3,5136,6
669276,2023,"CH/FF/SL",1164,-0.0129510309278351,66.9,0.594439736686369,0.304830192975219,0.88404928039752,95.7,93.3,72,3,2328,6
663671,2025,"CU/FF/SL",1596,-0.0165601503759398,79.5,0.594387618082006,0.294719909575995,0.894055326588018,95.7,90.2,83.2,3,3186,6
685126,2025,"CH/FF/SI/SL",3648,0.00246217105263158,18.5,0.59432788492678,0.317199070437334,0.871456699416226,95.6,97,52.4,4,10944,12
656240,2024,"FF/FS/SL",957,-0.0127931034482759,66.2,0.593992930124039,0.334220079070329,0.853765781177749,95.6,98.9,25.3,3,1914,6
552640,2025,"FF/FS/SI/SL",2304,-0.0193684895833333,87.2,0.59382160147949,0.300552861308335,0.887090341650645,95.5,91.9,75.5,4,6912,12
676105,2024,"CH/CU/FF/SL",1062,0.00127966101694915,20.8,0.593737652363626,0.297890715017565,0.889584589709686,95.5,91.3,78.7,4,3186,12
656420,2024,"CH/FF/SL",537,0.00293296089385475,17.4,0.593719110202112,0.292451789148376,0.894986431255849,95.5,89.1,83.8,3,1062,6
608638,2024,"FF/SI/SL",1587,-0.0196975425330813,87.8,0.593551514063247,0.29740176586731,0.889701262259184,95.4,91.1,78.8,3,3162,6
605154,2024,"FF/SL",2982,-0.00508853118712274,36.6,0.593456065827785,0.218460624497011,0.968451507158558,95.4,26.2,99.5,2,2982,2
641401,2023,"CH/FC/FF",1632,-0.00399080882352941,32.9,0.593406384954588,0.295743724097199,0.891069045811977,95.3,90.5,80.2,3,3264,6
660853,2024,"CH/FF/SL",3381,-0.000854480922803904,25.4,0.593331592226903,0.305352466787973,0.881310717665832,95.3,93.7,68,3,6756,6
605488,2023,"CH/FF/SL/ST",633,-0.0430521327014218,99.4,0.593152557413137,0.282020893285319,0.904284221540956,95.2,83.6,90.7,4,1899,12
600917,2023,"CH/FC/FF/SI/SL",2931,-0.0165117707267144,79.2,0.593011058094731,0.309434969685897,0.876587146503564,95.2,95.4,61.4,5,11724,20
641941,2024,"FC/FF/FS",1779,-0.00525801011804384,37.3,0.592976683143964,0.305702976653793,0.880250389634136,95.2,94.1,66.4,3,3558,6
656848,2025,"FC/FF/SI",981,-0.00467889908256881,35.4,0.592844201501191,0.301090420764057,0.884597982238324,95.1,92.1,72.6,3,1956,6
677020,2023,"CU/FF",657,0.00173972602739726,19.8,0.592834530107541,0.248855529435137,0.936813530779945,95.1,57.5,98,2,645,2
686654,2023,"FF/SL",621,-0.0157487922705314,77,0.592777077702207,0.261795964841177,0.923758190563237,95,68.8,96.5,2,621,2
669618,2023,"FF/SL",441,-0.00362585034013606,31.8,0.59260898253712,0.298550201766726,0.886667763307513,95,91.4,74.9,2,429,2
571670,2023,"CH/FF/SI/SL",2883,-0.00427575442247659,33.9,0.592588115654972,0.328043526699717,0.857132704610228,95,98.4,29.9,4,8649,12
641816,2025,"FC/FF/FS/SL",4143,-0.0208117306299783,90.2,0.592532940976756,0.305180152803965,0.879885729149548,94.9,93.6,66,4,12429,12
621237,2025,"CU/FC/SI",1371,-0.00426258205689278,33.8,0.59246280411519,0.265715242322032,0.919210365908347,94.9,71.7,95.7,3,2706,6
592527,2023,"CH/FF/SI/SL",123,0.0286829268292683,2.7,0.592453676259514,0.307418120362167,0.87748923215686,94.8,94.7,62.6,4,351,12
686752,2023,"CH/FF/SL",1962,-0.0199663608562691,88.6,0.591708361997925,0.294100554285112,0.889316169710738,94.8,89.9,78,3,3924,6
571670,2024,"CH/FF/SI/SL",3054,-0.0171139489194499,81.1,0.591587014622249,0.334948700222145,0.848225329022353,94.7,99,18.8,4,9162,12
668984,2024,"CH/FF/SL",498,0.0141506024096386,7.1,0.591581625365067,0.320275656008346,0.862887594721789,94.7,97.6,38.6,3,984,6
702795,2024,"FF/ST",105,-0.0178285714285714,83.1,0.591511916096327,0.204659192344461,0.978364639848194,94.7,15.6,99.8,2,90,2
671305,2025,"FF/SI/SL",363,0.0264876033057851,3.2,0.591333974657601,0.282446532106482,0.900221417208721,94.6,84.1,88.4,3,726,6
641386,2025,"CH/FF/SL",561,-0.0065668449197861,41.9,0.591239147365289,0.293918855606978,0.888559439123601,94.6,89.8,77,3,1110,6
687377,2025,"CH/FF/SI/SL",1503,0.00132335329341317,20.7,0.591135780573161,0.319699793889328,0.862571767256994,94.5,97.6,38.2,4,4509,12
696136,2024,"CH/CU/FF/SI/SL/ST",2556,0.0035293427230047,16.5,0.590995914045004,0.285618084346912,0.896373743743096,94.5,85.4,85.3,6,12780,30
592662,2024,"FF/KC/SL",1704,-0.0111531690140845,60.7,0.590990714696636,0.310436716616792,0.87154471277648,94.4,95.7,52.6,3,3408,6
605177,2023,"CH/FF/SI/SL",2763,-0.00638762214983713,40.9,0.590903445295638,0.312320609544352,0.869486281046924,94.4,96,48.7,4,8289,12
657612,2025,"FF/SI/SL",2697,-0.0212369299221357,90.7,0.590885174181755,0.346940660815021,0.834829687548489,94.4,99.5,8.9,3,5394,6
681217,2025,"FF/FS/SI/ST",636,-0.00917924528301887,53.1,0.59074867497671,0.298555247488564,0.882942102464856,94.3,91.5,70.4,4,1908,12
620454,2025,"CH/FF/SI/SL",1629,-0.00202578268876611,27.8,0.590614894459258,0.305585755695702,0.875644033222814,94.3,93.9,59.8,4,4887,12
664776,2024,"SI/SL",1932,-0.0195574534161491,87.6,0.590506385965715,0.198849529774884,0.982163242156546,94.2,12.2,99.9,2,1920,2
622491,2024,"CH/FF/SI/SL",8568,-0.0111144957983193,60.6,0.590290736187377,0.319127648583417,0.861453823791336,94.2,97.4,36.5,4,25704,12
641656,2024,"FF/SI/SL",1857,-0.0151114701130856,74.6,0.590281902583468,0.294558906471859,0.886004898695077,94.2,90.2,74.1,3,3714,6
621016,2023,"CH/FF/SI/SL/ST",3528,-0.00498979591836735,36.5,0.590084978870198,0.31472938519371,0.865440572546687,94.1,96.6,42.4,5,14112,20
691441,2025,"CH/CU/FF/SI/ST",300,-0.02219,92,0.590015660267808,0.302778741701673,0.877252578833943,94.1,92.6,62.4,5,1200,20
657024,2024,"FF/FS/SL",2001,-0.00162968515742129,27,0.5899688793009,0.305334876501179,0.87460288210062,94,93.7,57.9,3,3996,6
456501,2023,"CH/FC/FF/SI/SL",2580,-0.000109302325581396,23.7,0.589942875149104,0.343845151709958,0.836040598588249,94,99.3,9.5,5,10284,20
656730,2025,"FF/KC",2259,-0.0192045152722444,86.5,0.589913273851175,0.274738173615626,0.905088374086723,93.9,78.7,91.3,2,2259,2
