prev_pitch_type,pitch_type,n_pairs,runs_per_100
SI,UN,5,-0.4221926530590281
SL,CH,27987,-0.0250272161137668
SL,CS,49,-0.2354775640910424
SL,CU,15603,-0.035902660488142855
SL,EP,3,-0.3468578346655704
SL,FA,4,-0.6101322806898679
SL,FC,11350,-0.046408100427883896
SL,FF,125524,0.03220877766183104
SL,FO,121,-0.020683794045457157
SL,FS,6500,-0.00123437435174852
SL,KC,4096,-0.049042870155159915
SL,KN,15,0.007668341016445387
SL,PO,21,-0.31728406196894604
SL,SC,33,-0.06394928767611308
SL,SI,54677,-0.045813580071509645
SL,SL,130571,0.17368305693022612
SL,ST,7925,0.01620140643930884
SL,SV,394,0.042450466799847875
SL,UN,4,-0.3278959208273591
ST,CH,13637,-0.052610964550317996
ST,CS,24,-0.14957780389295294
ST,CU,6207,-0.014254218122374727
ST,FC,13626,-0.041141121446758605
ST,FF,50387,0.0014955531648383823
ST,FO,115,0.06817875405154748
ST,FS,3321,-0.022102098607115185
ST,KC,1132,0.04131830167866144
ST,KN,248,-0.020019533360299088
ST,PO,6,-0.2263638859100562
ST,SC,13,-0.2849202157869093
ST,SI,38557,-0.08056475418902975
ST,SL,6566,0.02401934192288816
ST,ST,58068,0.12795843970011103
ST,SV,54,0.14624011591203506
ST,UN,2,-0.2858012310753111
SV,CH,1035,-0.009192218692829634
SV,CS,20,-0.2140290586493165
SV,CU,238,-0.074087922906861
SV,FC,745,0.01790381926589026
SV,FF,3806,-0.003702813222631832
SV,FS,210,-0.07261564009500684
SV,PO,1,0.2899766419432126
SV,SI,2640,-0.12062319824359344
SV,SL,358,0.10195656118302886
SV,ST,54,-0.0784922794604494
SV,SV,3318,0.14371642499977774
SV,UN,1,-0.8884269496775232
UN,CH,3,0.4283869522623718
UN,CU,1,-0.35219553974457085
UN,FC,1,0.3408175864024088
UN,FF,4,-0.6021123619575519
UN,SI,3,0.0405004910135176
UN,SL,6,0.1541108378053953
UN,ST,3,-0.06696881537209265
UN,SV,2,-0.15000918065197766
